PASKIRTIS,TEISĖ,GYVENVIETĖ,ADRESAS,OBJEKTAS,ĮMKODAS,PAVADINIMAS
Kultūros,Nuosavybės teisė,Vilniaus m.,Rinktinės g. 2  ,Muziejus,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Pagalbinio ūkio,Nuosavybės teisė,Vilniaus m.,Rinktinės g. 2  ,Sandėlis,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Pagalbinio ūkio,Nuosavybės teisė,Vilniaus m.,Rinktinės g. 2  ,Sandėlis,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Siurblinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Pagalbinio ūkio,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Sandėlis,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Pagalbinio ūkio,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Ūkinis pastatas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Pagalbinio ūkio,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Ūkinis pastatas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Pagalbinio ūkio,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Sandėlis,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Pagalbinio ūkio,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Garažas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Pagalbinio ūkio,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Sandėlis,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Pagalbinio ūkio,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Ūkinis pastatas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
